Node1,Node2,Bakry-Émery Curvature
0,1,-101.0
0,3,-88.0
0,21,-92.0
0,27,-94.0
0,43,-93.5
0,54,-85.0
0,61,-90.0
0,68,-85.5
0,93,-93.5
0,124,-82.0
0,125,-91.5
0,132,-94.5
0,135,-99.0
0,136,-98.5
0,141,-87.0
0,153,-92.0
0,155,-90.0
0,169,-94.0
0,170,-98.0
0,196,-89.0
0,203,-85.5
0,205,-86.5
0,212,-97.5
0,253,-96.5
0,291,-88.0
0,301,-99.5
0,308,-90.5
0,314,-99.0
0,334,-93.5
0,348,-91.5
0,353,-90.5
0,366,-95.5
0,372,-99.5
0,379,-83.0
0,386,-89.5
0,394,-89.5
0,432,-82.0
0,456,-84.5
0,472,-88.0
0,473,-93.5
0,486,-87.0
0,487,-98.5
0,490,-96.0
0,501,-94.5
0,510,-96.5
0,528,-94.0
0,557,-83.0
0,571,-83.5
0,573,-98.5
0,594,-82.0
0,638,-80.5
0,667,-92.5
0,669,-85.0
0,670,-90.5
0,706,-93.0
0,712,-88.5
0,723,-86.0
0,729,-89.5
0,746,-92.5
0,757,-97.5
0,774,-91.5
0,776,-97.0
0,785,-89.0
0,789,-95.5
0,794,-90.0
0,799,-99.0
0,804,-88.5
0,828,-88.0
0,874,-85.0
0,875,-94.0
0,876,-90.0
0,878,-88.0
0,880,-85.0
0,888,-89.0
0,895,-95.5
0,913,-96.5
0,914,-90.0
0,916,-102.5
0,925,-87.0
0,946,-87.0
0,951,-83.5
0,981,-86.0
0,983,-91.5
0,986,-91.5
0,988,-91.0
0,995,-85.5
1,9,-107.0
1,13,-106.5
1,30,-114.5
1,31,-113.0
1,48,-108.0
1,65,-104.5
1,97,-115.0
1,109,-111.0
1,110,-111.5
1,116,-111.0
1,126,-108.5
1,143,-107.5
1,148,-104.0
1,158,-110.5
1,160,-106.0
1,181,-107.0
1,192,-112.0
1,204,-108.0
1,207,-104.0
1,210,-109.5
1,218,-105.5
1,229,-110.5
1,237,-108.0
1,249,-112.0
1,261,-112.5
1,273,-99.0
1,293,-115.0
1,297,-111.0
1,299,-106.0
1,318,-115.0
1,320,-113.0
1,325,-112.0
1,330,-107.5
1,333,-102.0
1,345,-103.5
1,351,-109.0
1,369,-110.5
1,370,-111.5
1,383,-109.0
1,387,-105.0
1,392,-105.5
1,395,-117.0
1,397,-103.5
1,406,-110.5
1,418,-106.5
1,419,-111.0
1,429,-115.0
1,431,-113.5
1,437,-114.0
1,439,-101.5
1,448,-111.5
1,458,-104.5
1,464,-113.0
1,466,-106.0
1,491,-113.5
1,493,-105.0
1,504,-102.5
1,519,-109.5
1,525,-111.5
1,527,-117.0
1,528,-112.0
1,530,-104.0
1,531,-111.5
1,544,-106.5
1,545,-106.0
1,553,-110.5
1,574,-108.5
1,586,-115.5
1,589,-113.5
1,619,-109.5
1,644,-104.5
1,651,-107.5
1,661,-111.5
1,663,-109.0
1,664,-103.0
1,666,-115.5
1,672,-108.5
1,673,-105.5
1,676,-108.0
1,681,-107.5
1,692,-101.0
1,693,-106.0
1,704,-111.0
1,706,-111.0
1,713,-98.0
1,720,-112.5
1,723,-104.0
1,747,-110.5
1,754,-103.0
1,760,-105.5
1,764,-108.5
1,765,-103.0
1,769,-118.5
1,778,-109.5
1,784,-107.0
1,794,-108.0
1,801,-111.0
1,818,-100.0
1,824,-103.0
1,825,-110.5
1,834,-111.5
1,839,-100.0
1,845,-113.5
1,848,-109.0
1,877,-113.0
1,878,-106.0
1,880,-103.0
1,897,-99.0
1,902,-112.5
1,903,-103.0
1,908,-108.0
1,910,-108.0
1,911,-98.0
1,918,-118.0
1,928,-115.0
1,929,-112.0
1,931,-107.0
1,954,-108.5
1,993,-107.5
1,995,-103.5
1,996,-112.0
3,2,-99.0
3,10,-95.0
3,15,-103.0
3,16,-98.0
3,39,-103.0
3,51,-96.0
3,60,-87.5
3,69,-94.0
3,70,-93.0
3,71,-95.5
3,100,-97.0
3,110,-98.5
3,127,-94.0
3,136,-103.5
3,138,-97.0
3,142,-101.0
3,144,-95.5
3,148,-91.0
3,177,-96.0
3,184,-97.0
3,185,-95.5
3,188,-89.0
3,196,-94.0
3,208,-99.0
3,211,-100.0
3,212,-102.5
3,220,-101.5
3,227,-97.5
3,232,-96.0
