Node1,Node2,Bakry-Émery Curvature
0,1,-43.5
0,2,-37.0
0,3,-65.0
0,4,-29.5
0,6,-31.0
0,11,-27.5
0,13,-27.0
0,18,-34.0
0,94,-22.0
0,99,-23.5
0,100,-22.0
0,112,-21.5
0,114,-24.0
0,161,-21.5
0,206,-21.5
0,257,-23.5
0,259,-22.5
0,268,-22.0
0,330,-22.0
0,347,-22.5
0,362,-21.5
0,369,-22.0
0,373,-21.5
0,384,-21.5
0,462,-23.0
0,512,-24.5
0,536,-22.0
0,559,-23.0
0,560,-21.5
0,564,-21.5
0,581,-22.0
0,606,-22.0
0,608,-21.5
0,615,-22.0
0,623,-22.5
0,682,-21.5
0,688,-21.5
0,719,-21.5
0,739,-21.5
0,818,-22.5
0,831,-21.5
0,863,-21.5
0,867,-21.5
0,908,-21.5
0,942,-21.5
0,944,-22.0
0,989,-21.5
1,3,-64.5
1,6,-30.5
1,7,-36.0
1,9,-30.0
1,11,-27.0
1,14,-37.5
1,19,-25.5
1,23,-24.5
1,30,-23.0
1,33,-27.0
1,39,-26.5
1,41,-23.5
1,43,-24.5
1,46,-22.0
1,50,-21.5
1,57,-26.0
1,62,-21.0
1,88,-25.5
1,93,-27.5
1,105,-26.0
1,118,-21.5
1,136,-24.5
1,184,-21.0
1,197,-22.5
1,223,-21.0
1,288,-22.0
1,301,-21.5
1,333,-22.5
1,377,-21.0
1,380,-21.0
1,381,-22.0
1,406,-21.5
1,435,-21.0
1,436,-21.0
1,447,-21.5
1,463,-21.0
1,490,-22.5
1,563,-21.0
1,588,-21.0
1,628,-21.0
1,658,-21.0
1,702,-21.5
1,755,-21.5
1,775,-21.5
1,785,-21.0
2,20,-22.0
2,21,-23.5
2,22,-17.0
2,24,-29.0
2,36,-19.5
2,65,-15.5
2,68,-17.0
2,86,-19.5
2,98,-20.5
2,118,-15.0
2,119,-15.5
2,140,-18.0
2,156,-16.0
2,172,-14.5
2,211,-16.0
2,262,-15.0
2,268,-15.0
2,294,-17.5
2,357,-15.0
2,392,-15.0
2,502,-15.5
2,522,-14.5
