Edge,Ollivier-Ricci Curvature
"('0', '9')",-0.039855072463766295
"('0', '11')",-0.08992346938775397
"('0', '27')",-0.06666666666666576
"('0', '61')",-0.004901960784312154
"('0', '78')",-0.05811403508771895
"('0', '115')",-0.06653225806451557
"('0', '129')",-0.018920068027210135
"('0', '168')",-0.04769736842105399
"('0', '171')",-0.004006410256408799
"('0', '195')",-0.035714285714284255
"('0', '209')",-0.00041666666666539953
"('0', '217')",-0.046187106918238685
"('0', '236')",-0.023674242424241765
"('0', '237')",-0.013825757575756992
"('0', '296')",-0.03525641025640902
"('0', '325')",-0.02916666666666523
"('0', '327')",-0.012609649122808042
"('0', '332')",-0.08266129032257985
"('0', '350')",-0.048207364341083636
"('0', '363')",-0.03385416666666563
"('0', '380')",-0.0064273049645373614
"('0', '382')",-0.035904255319147316
"('0', '475')",-0.033909574468083514
"('0', '504')",-0.0840600775193785
"('0', '511')",-0.08527131782945618
"('0', '534')",-0.004464285714284255
"('0', '564')",-0.026785714285712636
"('0', '571')",-0.03819444444444531
"('0', '577')",-0.01302083333333326
"('0', '625')",-0.09027777777777635
"('0', '642')",0.0005681818181821896
"('0', '660')",-0.060795454545453875
"('0', '677')",-0.018707482993196578
"('0', '685')",-0.046187106918238685
"('0', '688')",0.011363636363636354
"('0', '701')",-0.03954081632653006
"('0', '729')",-0.0639534883720918
"('0', '734')",-0.038925438596492334
"('0', '772')",-0.03634751773049483
"('0', '774')",-0.05624999999999858
"('0', '781')",0.0021619496855347364
"('0', '799')",-0.02792553191489211
"('0', '801')",-0.04009433962264097
"('0', '861')",-0.04261363636363624
"('0', '882')",-0.05624999999999836
"('0', '931')",-0.08333333333333282
"('0', '940')",-0.01965408805031399
"('0', '964')",-0.06831395348837055
"('9', '3')",-0.03351449275362195
"('9', '5')",-0.02119565217391206
"('9', '99')",-0.03416149068322949
"('9', '109')",-0.007818459191458071
"('9', '116')",-0.10507246376811552
"('9', '237')",-0.011264822134384733
"('9', '246')",-0.07919254658385078
"('9', '255')",0.0010033444816065495
"('9', '292')",-0.05434782608695454
"('9', '322')",-0.032173913043478164
"('9', '335')",-0.07441471571906311
"('9', '364')",-0.059449866903282356
"('9', '389')",-0.052675585284280624
"('9', '412')",-0.04991948470209495
"('9', '432')",-0.03391304347826085
"('9', '445')",-0.05405002977963247
"('9', '454')",-0.009844134536505678
"('9', '480')",-0.08739130434782627
"('9', '491')",-0.03260869565217184
"('9', '529')",-0.027667984189720718
"('9', '554')",-0.028428093645483266
"('9', '580')",-0.024999999999999245
"('9', '592')",0.005332239540606798
"('9', '603')",-0.023957409050576306
"('9', '618')",-0.032198523379819655
"('9', '619')",-0.06966403162055235
"('9', '636')",-0.12080745341614829
"('9', '645')",-0.029438405797099332
"('9', '647')",-0.04011857707509625
"('9', '664')",-0.06521739130434567
"('9', '683')",-0.07850241545893666
"('9', '706')",-0.049999999999998934
"('9', '707')",-0.029999999999999805
"('9', '712')",-0.10471898197242724
"('9', '734')",-0.03832951945080154
"('9', '757')",-0.09339774557166036
"('9', '764')",-0.056956521739130794
"('9', '773')",-0.025510204081632626
"('9', '808')",-0.04604743083003737
"('9', '823')",-0.0996818663838801
"('9', '856')",-0.057971014492755435
"('9', '881')",-0.009903381642511144
"('9', '896')",-0.030518394648827663
"('9', '959')",-0.049088359046282726
"('9', '988')",-0.0269565217391301
"('11', '1')",-0.07142857142857162
"('11', '52')",-0.051216640502354416
"('11', '121')",-0.033434650455926196
"('11', '148')",-0.02094522019334022
"('11', '160')",-0.05824829931972775
"('11', '171')",-0.014128728414442238
"('11', '175')",-0.04868197278911501
"('11', '176')",-0.025606469002695587
"('11', '182')",-0.02781112444977918
"('11', '192')",-0.06530612244897904
"('11', '194')",-0.016530612244898046
"('11', '207')",-0.030849549121974906
"('11', '216')",-0.023988542785535305
"('11', '218')",-0.06083202511773855
"('11', '274')",-0.03795918367346962
"('11', '290')",-0.02806122448979531
"('11', '299')",-0.026210484193676553
"('11', '323')",-0.03771073646850032
"('11', '358')",-0.040306122448978465
"('11', '399')",-0.05419501133786708
"('11', '430')",-0.0704474097331238
"('11', '432')",-0.028775510204081645
"('11', '437')",-0.034737299174988134
"('11', '458')",-0.046734693877551026
"('11', '476')",-0.011375041820006926
"('11', '482')",-0.0435992578849711
"('11', '493')",-0.05457997152349314
"('11', '533')",-0.016603251470078684
"('11', '553')",-0.07171201814058925
"('11', '577')",-0.043367346938774975
"('11', '586')",-0.08935466078323229
"('11', '587')",-0.053803339517623616
"('11', '709')",0.01147959183673497
"('11', '768')",-0.07653061224489721
"('11', '771')",0.0010465724751440586
"('11', '781')",-0.06623026569118218
"('11', '785')",-0.0419152276295125
"('11', '791')",-0.028061224489795533
"('11', '815')",-0.03904170363797688
"('11', '839')",-0.0323868677905943
"('11', '849')",-0.06011535048802119
"('11', '868')",0.023384353741496833
"('11', '932')",-0.08044613194114847
"('11', '965')",-0.025062656641603454
"('11', '969')",-0.09218859957776138
"('11', '971')",-0.09183673469387621
"('11', '972')",-0.03954081632653006
"('11', '982')",-0.005009276437845989
