Edge,Ollivier-Ricci Curvature
"('0', '1')",0.33333333333333326
"('0', '999')",0.33333333333333326
"('0', '2')",0.16666666666666663
"('0', '998')",0.16666666666666663
"('0', '3')",0.0
"('0', '997')",0.06666666666666665
"('1', '2')",0.3333333333333335
"('1', '3')",0.16666666666666663
"('1', '999')",0.16666666666666663
"('1', '4')",0.0
"('1', '998')",0.0
"('999', '2')",0.0
"('999', '996')",-0.08333333333333348
"('999', '997')",0.2666666666666667
"('999', '998')",0.33333333333333337
"('2', '3')",0.33333333333333326
"('2', '4')",0.16666666666666663
"('2', '5')",-0.08333333333333326
"('998', '995')",-0.08333333333333326
"('998', '996')",0.08333333333333337
"('998', '997')",0.4666666666666667
"('3', '4')",0.33333333333333326
"('3', '5')",0.0
"('3', '6')",-0.16666666666666674
"('997', '995')",0.016666666666666607
"('997', '996')",0.18333333333333335
"('4', '5')",0.16666666666666663
"('4', '6')",1.1102230246251565e-16
"('4', '7')",-0.22916666666666652
"('5', '7')",-0.16666666666666652
"('5', '8')",-0.3333333333333335
"('5', '497')",-0.6904761904761902
"('6', '7')",-0.16249999999999987
"('6', '9')",-0.44999999999999996
"('6', '254')",-0.675
"('7', '8')",-0.14583333333333304
"('7', '10')",-0.44999999999999996
"('7', '686')",-0.7083333333333333
"('7', '840')",-0.6696428571428572
"('7', '49')",-0.7083333333333333
"('8', '9')",-0.25
"('8', '11')",-0.2500000000000002
"('8', '929')",-0.6666666666666667
"('8', '940')",-0.6190476190476191
"('497', '494')",-0.1666666666666663
"('497', '495')",3.3306690738754696e-16
"('497', '496')",0.10000000000000031
"('497', '498')",0.14285714285714302
"('497', '499')",-0.14285714285714257
"('497', '500')",-0.14285714285714257
"('9', '11')",-0.08333333333333348
"('9', '12')",-0.33333333333333326
"('9', '276')",-0.6666666666666667
"('9', '571')",-0.6666666666666667
"('254', '251')",-0.10000000000000009
"('254', '252')",-0.0803571428571428
"('254', '253')",-0.017857142857142794
"('254', '255')",-0.125
"('254', '256')",-0.20833333333333326
"('254', '560')",-0.7083333333333333
"('254', '879')",-0.6696428571428572
"('10', '11')",0.01666666666666683
"('10', '12')",-2.220446049250313e-16
"('10', '13')",-0.10000000000000009
"('10', '914')",-0.657142857142857
"('686', '683')",-0.08333333333333326
"('686', '684')",0.08333333333333315
"('686', '685')",0.25
"('686', '688')",0.0
"('686', '689')",-0.16666666666666674
"('840', '634')",-0.7321428571428565
"('840', '837')",-0.2142857142857142
"('840', '838')",-0.0714285714285714
"('840', '839')",-0.09999999999999987
"('840', '841')",0.028571428571428803
"('840', '843')",-0.27142857142857135
"('49', '46')",-0.09523809523809468
"('49', '47')",0.16666666666666663
