Node1,Node2,Forman-Ricci Curvature
0,143,-92
0,229,-99
0,411,-99
0,483,-113
0,562,-93
0,740,-100
0,872,-106
0,915,-99
0,1077,-105
0,1109,-99
0,1124,-100
0,1149,-106
0,1295,-101
0,1587,-99
0,1621,-105
0,1636,-98
0,1684,-105
0,1741,-99
0,2083,-90
0,2084,-100
0,2112,-108
0,2249,-103
0,2443,-106
0,2634,-109
0,2823,-90
0,2836,-89
0,2837,-94
0,2858,-94
0,2894,-90
0,3112,-99
0,3308,-84
0,3404,-99
0,3413,-90
0,3416,-93
0,3615,-104
0,3666,-122
0,3712,-108
0,3740,-98
0,3901,-109
0,4069,-92
0,4097,-89
0,4138,-97
0,4141,-99
0,4266,-117
0,4362,-100
0,4404,-111
0,4466,-100
0,4570,-99
0,4594,-97
0,4649,-97
0,4753,-108
0,4953,-103
143,166,-97
143,200,-98
143,464,-90
143,492,-91
143,517,-99
143,722,-99
143,902,-84
143,1006,-90
143,1200,-82
143,1266,-93
143,1288,-85
143,1368,-94
143,1437,-109
143,1651,-90
143,1660,-79
143,1679,-89
143,1751,-97
143,1916,-92
143,1932,-92
143,2330,-94
143,2358,-95
143,2437,-100
143,2491,-84
143,2538,-83
143,2764,-93
143,2997,-97
143,3024,-97
143,3054,-95
143,3534,-81
143,3686,-83
143,4037,-101
143,4122,-84
143,4376,-91
143,4422,-88
143,4425,-99
143,4501,-94
143,4581,-95
143,4776,-92
143,4823,-94
143,4851,-89
143,4880,-89
143,4881,-91
143,4970,-100
229,28,-106
229,301,-107
229,626,-111
229,630,-88
229,634,-101
229,668,-106
229,876,-87
229,883,-109
229,948,-100
229,1058,-96
229,1090,-101
229,1112,-90
229,1141,-98
229,1304,-102
229,1330,-106
229,1377,-98
229,1510,-83
229,1516,-94
229,1655,-98
229,1754,-95
229,1772,-89
229,1804,-91
229,2029,-88
229,2085,-95
229,2181,-108
229,2193,-86
229,2274,-90
229,2278,-90
229,2386,-100
229,2527,-101
229,2651,-93
229,2687,-102
229,2980,-92
229,3220,-95
229,3327,-91
229,3362,-104
229,3728,-97
229,3786,-105
229,3885,-102
229,3988,-106
229,4026,-95
229,4045,-89
229,4117,-90
229,4283,-85
229,4406,-105
229,4651,-93
229,4886,-108
229,4900,-95
229,4917,-103
229,4933,-90
411,4,-98
411,62,-91
411,75,-99
411,214,-112
411,290,-103
411,302,-111
411,314,-94
411,400,-96
411,483,-112
411,631,-98
411,640,-99
411,674,-110
411,710,-110
411,740,-99
411,944,-96
411,996,-89
411,1022,-90
411,1209,-92
411,1221,-91
411,1315,-108
411,1598,-90
411,1631,-100
411,1696,-104
411,1708,-101
411,1873,-99
411,1930,-113
411,1982,-98
411,1997,-92
411,2107,-96
411,2186,-99
411,2202,-89
411,2242,-110
411,2260,-104
411,2560,-98
411,2627,-114
411,2705,-91
411,2802,-97
411,2874,-111
411,3361,-104
411,3488,-102
411,4016,-107
411,4027,-92
411,4174,-92
411,4211,-93
411,4436,-92
411,4487,-105
411,4596,-93
411,4674,-110
411,4690,-96
411,4884,-89
483,91,-118
483,116,-113
483,181,-109
483,463,-111
483,481,-115
483,482,-103
483,543,-104
483,640,-113
483,908,-101
483,962,-117
483,1003,-112
483,1026,-105
483,1036,-110
483,1134,-99
483,1166,-101
483,1286,-110
483,1639,-116
483,1682,-114
483,1721,-113
483,1843,-114
483,1928,-110
483,2054,-103
483,2059,-111
483,2151,-114
483,2220,-105
483,2280,-110
483,2357,-113
483,2512,-112
483,2872,-110
483,2983,-113
483,3066,-100
483,3084,-114
483,3606,-113
483,3681,-122
483,3789,-113
483,3819,-120
483,3918,-106
483,3947,-110
483,4002,-117
483,4064,-102
483,4110,-106
483,4151,-118
483,4165,-111
483,4387,-107
483,4396,-108
483,4404,-124
483,4407,-106
483,4409,-99
483,4410,-110
483,4415,-114
483,4440,-106
483,4443,-96
483,4512,-114
483,4563,-103
483,4575,-116
483,4632,-102
483,4640,-113
483,4724,-100
483,4749,-121
483,4821,-104
483,4842,-111
483,4873,-119
483,4920,-111
562,70,-95
562,77,-88
562,264,-85
562,341,-102
562,397,-96
562,453,-95
562,542,-97
562,779,-95
562,1032,-102
562,1067,-96
562,1320,-88
562,1321,-85
562,1538,-85
562,1590,-87
562,1620,-89
562,1828,-93
562,2032,-97
562,2234,-88
562,2268,-98
562,2311,-88
562,2325,-93
562,2340,-98
562,2342,-97
562,2423,-95
562,2669,-91
562,2802,-91
562,2828,-96
562,2856,-83
562,3118,-98
562,3239,-110
562,3244,-92
562,3325,-96
562,3340,-96
562,3404,-92
562,3420,-92
562,3576,-100
562,4157,-81
562,4160,-93
562,4236,-102
562,4418,-96
562,4497,-97
562,4833,-93
562,4847,-103
562,4870,-91
740,60,-100
740,194,-101
740,347,-92
740,358,-99
740,476,-101
740,633,-104
740,743,-94
740,813,-96
740,852,-109
740,884,-109
740,1235,-96
740,1283,-100
740,1462,-90
740,1496,-100
740,1633,-93
740,1793,-94
740,1911,-96
740,2155,-104
740,2193,-87
740,2264,-100
740,2321,-98
740,2470,-108
740,2576,-101
740,2795,-110
740,2941,-103
740,2968,-90
740,3087,-96
740,3125,-89
740,3217,-117
740,3246,-100
740,3253,-107
740,3366,-102
740,3367,-90
740,3386,-93
740,3397,-105
740,3402,-103
740,3426,-97
740,3525,-94
740,3971,-102
740,4074,-96
740,4076,-99
740,4106,-109
740,4192,-93
740,4222,-99
740,4238,-103
740,4335,-108
740,4445,-93
740,4562,-100
740,4649,-97
740,4694,-96
872,25,-98
872,38,-105
872,74,-108
872,109,-104
872,237,-105
872,326,-106
872,386,-105
872,409,-99
872,471,-101
872,676,-98
872,687,-97
872,715,-102
872,762,-105
872,817,-117
872,892,-98
872,919,-102
872,1140,-98
872,1208,-108
872,1247,-92
872,1332,-105
872,1434,-105
872,1697,-105
872,1867,-114
872,1895,-108
872,2019,-89
872,2135,-102
872,2151,-107
872,2172,-101
872,2256,-106
872,2285,-111
872,2306,-105
872,2343,-110
872,2641,-112
872,2648,-88
872,2667,-95
872,2675,-123
872,2997,-111
872,3132,-113
872,3168,-104
872,3609,-102
872,3616,-108
872,3646,-108
872,3732,-106
872,3834,-93
872,3961,-103
872,3994,-99
872,4007,-113
872,4123,-96
872,4163,-92
872,4231,-105
872,4256,-95
872,4267,-110
872,4355,-99
872,4535,-116
872,4802,-112
872,4830,-117
872,4989,-105
915,53,-99
915,179,-89
915,328,-97
915,370,-95
915,461,-95
915,736,-94
915,756,-98
915,763,-100
915,781,-105
915,1016,-90
915,1034,-101
915,1363,-93
915,1373,-103
915,1589,-80
915,1602,-92
915,1641,-93
915,1671,-105
915,1680,-98
915,1682,-100
915,1715,-93
915,1742,-94
915,2008,-98
915,2019,-82
915,2054,-89
915,2140,-92
915,2153,-94
915,2493,-109
915,2541,-102
915,2556,-110
915,2849,-73
915,2884,-101
915,2959,-100
915,3291,-108
915,3478,-94
915,3578,-85
915,3780,-104
915,3814,-105
915,3977,-119
915,4037,-108
915,4187,-96
915,4204,-95
915,4213,-92
915,4214,-95
915,4337,-95
915,4450,-98
915,4559,-110
915,4654,-109
915,4869,-93
915,4951,-102
915,4965,-91
1077,4,-104
1077,93,-101
1077,256,-105
1077,307,-106
1077,314,-100
1077,378,-104
1077,472,-113
1077,674,-116
1077,794,-101
1077,1046,-105
1077,1128,-106
1077,1194,-105
1077,1200,-95
1077,1233,-98
1077,1237,-103
1077,1326,-104
1077,1340,-107
1077,1495,-122
1077,1563,-96
1077,1637,-104
1077,1707,-102
1077,2010,-101
1077,2200,-108
1077,2317,-103
1077,2369,-105
1077,2426,-104
1077,2523,-96
1077,2562,-99
1077,2572,-107
1077,2782,-99
1077,2805,-112
1077,2853,-102
1077,3113,-106
1077,3126,-105
1077,3273,-106
1077,3448,-109
1077,3555,-111
1077,3596,-104
1077,3670,-115
1077,3699,-102
1077,3924,-103
1077,4090,-106
1077,4133,-94
1077,4175,-108
1077,4181,-108
1077,4296,-106
1077,4306,-102
1077,4393,-94
1077,4444,-103
