Node1,Node2,Forman-Ricci Curvature
0,1,-108
0,2,-71
0,3,-96
0,4,-141
0,6,-111
0,8,-97
0,9,-74
0,11,-100
0,12,-96
0,13,-86
0,16,-111
0,18,-102
0,21,-74
0,26,-80
0,32,-70
0,33,-77
0,38,-82
0,43,-72
0,44,-84
0,54,-77
0,56,-76
0,61,-72
0,64,-73
0,69,-73
0,75,-81
0,84,-78
0,86,-72
0,93,-67
0,105,-69
0,106,-73
0,130,-69
0,142,-74
0,175,-76
0,187,-76
0,189,-68
0,190,-70
0,237,-68
0,243,-67
0,257,-74
0,266,-66
0,304,-67
0,310,-71
0,318,-67
0,331,-67
0,356,-66
0,387,-70
0,408,-70
0,433,-70
0,521,-67
0,530,-66
0,548,-70
0,597,-66
0,612,-68
0,626,-66
0,649,-66
0,653,-68
0,684,-66
0,685,-67
0,732,-67
0,779,-68
0,801,-67
0,826,-66
0,849,-66
0,867,-66
0,892,-66
0,955,-66
0,960,-66
1,4,-119
1,5,-95
1,6,-89
1,7,-76
1,8,-75
1,13,-64
1,19,-63
1,24,-98
1,30,-45
1,39,-56
1,50,-56
1,55,-61
1,62,-48
1,71,-52
1,98,-47
1,106,-51
1,108,-55
1,114,-45
1,128,-47
1,145,-61
1,153,-58
1,169,-48
1,188,-51
1,189,-46
1,190,-48
1,222,-47
1,224,-47
1,274,-51
1,328,-45
1,332,-47
1,333,-44
1,366,-44
1,384,-46
1,385,-47
1,404,-46
1,457,-45
1,528,-44
1,544,-45
1,608,-45
1,720,-44
1,879,-44
1,884,-45
1,939,-45
1,940,-45
2,4,-82
2,16,-52
2,64,-14
2,99,-12
2,234,-9
2,574,-7
2,828,-7
3,5,-83
3,7,-64
3,11,-66
3,14,-49
3,20,-50
3,21,-40
3,31,-36
3,34,-73
3,41,-39
3,46,-44
3,51,-35
3,55,-49
3,90,-33
3,97,-37
3,178,-35
3,196,-35
3,291,-41
3,302,-33
3,327,-32
3,344,-32
3,424,-34
3,425,-32
3,438,-37
3,451,-36
3,472,-34
3,474,-37
3,518,-32
3,686,-32
3,696,-32
3,756,-33
3,874,-32
3,915,-32
4,5,-128
4,6,-122
4,9,-85
4,11,-111
4,15,-85
4,16,-122
4,18,-113
4,27,-84
4,29,-85
4,32,-81
4,38,-93
4,45,-90
4,48,-86
4,54,-88
4,66,-87
4,67,-85
4,71,-85
4,74,-88
4,84,-89
4,91,-81
4,107,-82
4,112,-79
4,121,-80
4,138,-80
4,148,-85
4,153,-91
4,154,-82
4,156,-81
4,170,-79
4,175,-87
4,193,-82
4,218,-82
4,240,-79
4,253,-80
4,263,-81
4,278,-82
4,330,-78
4,335,-79
4,346,-77
4,347,-80
4,359,-78
4,373,-80
4,379,-78
4,420,-77
4,445,-77
4,448,-77
4,464,-79
4,499,-79
4,517,-78
4,532,-78
4,535,-80
4,540,-78
4,557,-77
4,576,-77
4,587,-79
4,590,-79
4,594,-77
4,632,-78
4,672,-77
4,708,-78
4,737,-78
4,772,-78
4,795,-77
4,832,-77
4,839,-77
4,862,-77
4,890,-77
4,896,-77
4,903,-77
4,907,-77
4,910,-77
4,934,-77
4,947,-77
4,973,-77
4,977,-77
6,10,-73
6,13,-67
6,17,-73
6,21,-55
6,24,-101
6,26,-61
6,31,-51
6,33,-58
6,35,-71
6,48,-56
6,56,-57
6,65,-47
6,87,-52
6,102,-49
6,128,-50
6,167,-54
6,176,-54
6,211,-48
6,243,-48
6,252,-52
6,254,-53
6,258,-54
6,278,-52
6,304,-48
6,324,-53
6,348,-49
6,356,-47
6,366,-47
6,376,-49
6,417,-48
6,468,-48
6,475,-52
6,555,-47
6,563,-52
6,573,-47
6,580,-48
