Node1,Node2,Ollivier-Ricci Curvature
0,61,0.0
0,81,0.0
0,156,0.0
0,295,0.0
0,551,0.0
0,803,0.0
0,813,0.0
0,831,0.0
0,1172,0.0
0,1233,0.0
0,1307,0.0
0,1382,0.0
0,1523,0.0
0,1562,0.0
0,1627,0.0
0,1987,0.0
0,2083,0.0
0,2209,0.0
0,2338,0.0
0,2399,0.0
0,2413,0.0
0,2457,0.0
0,2482,0.0
0,2555,0.0
0,2619,0.0
0,2639,0.0
0,2853,0.0
0,2870,0.0
0,3079,0.0
0,3545,0.0
0,4243,0.0
0,4257,0.0
0,4312,0.0
0,4538,0.0
0,4675,0.0
0,4706,0.0
0,4708,0.0
61,58,0.0
61,181,0.0
61,389,0.0
61,558,0.0
61,643,0.0
61,907,0.0
61,931,0.0
61,1320,0.0
61,1424,0.0
61,1762,0.0
61,2028,0.0
61,2295,0.0
61,2317,0.0
61,2547,0.0
61,2586,0.0
61,2628,0.0
61,2685,0.0
61,2794,0.0
61,2800,0.0
61,2846,0.0
61,2860,0.0
61,3020,0.0
61,3059,0.0
61,3063,0.0
61,3182,0.0
61,3191,0.0
61,3221,0.0
61,3344,0.0
61,3376,0.0
61,3423,0.0
61,3459,0.0
61,3510,0.0
61,3638,0.0
61,3858,0.0
61,3905,0.0
61,4122,0.0
61,4160,0.0
61,4188,0.0
61,4230,0.0
61,4363,0.0
61,4433,0.0
61,4541,0.0
61,4574,0.0
61,4681,0.0
61,4945,0.0
81,252,0.0
81,333,0.0
81,603,0.0
81,758,0.0
81,928,0.0
81,1122,0.0
81,1223,0.0
81,1328,0.0
81,1355,0.0
81,1434,0.0
81,1758,0.0
81,2033,0.0
81,2045,0.0
81,2205,0.0
81,2299,0.0
81,2358,0.0
81,2546,0.0
81,2555,0.0
81,2598,0.0
81,2639,0.0
81,2714,0.0
81,3001,0.0
81,3004,0.0
81,3067,0.0
81,3293,0.0
81,3328,0.0
81,3458,0.0
81,3769,0.0
81,4170,0.0
81,4229,0.0
81,4392,0.0
81,4483,0.0
156,183,0.0
156,421,0.0
156,682,0.0
156,782,0.0
156,797,0.0
156,851,0.0
156,869,0.0
156,888,0.0
156,986,0.0
156,1077,0.0
156,1206,0.0
156,1333,0.0
156,1397,0.0
156,1404,0.0
156,1445,0.0
156,1489,0.0
156,1689,0.0
156,1766,0.0
156,1847,0.0
156,1862,0.0
156,1891,0.0
156,2136,0.0
156,2179,0.0
156,2213,0.0
156,2334,0.0
156,2336,0.0
156,2450,0.0
156,2542,0.0
156,2628,0.0
156,2674,0.0
156,2746,0.0
156,2820,0.0
156,2851,0.0
156,3056,0.0
156,3142,0.0
156,3326,0.0
156,3525,0.0
156,3638,0.0
156,3656,0.0
156,3662,0.0
156,3845,0.0
156,4060,0.0
156,4478,0.0
156,4664,0.0
156,4691,0.0
156,4790,0.0
156,4934,0.0
295,50,0.0
295,174,0.0
295,357,0.0
295,575,0.0
295,659,0.0
295,730,0.0
295,805,0.0
295,833,0.0
295,871,0.0
295,874,0.0
295,991,0.0
295,1006,0.0
295,1037,0.0
295,1136,0.0
295,1254,0.0
295,1425,0.0
295,1468,0.0
295,1888,0.0
295,1923,0.0
295,1999,0.0
295,2020,0.0
295,2125,0.0
295,2179,0.0
295,2466,0.0
295,2676,0.0
295,2820,0.0
295,2893,0.0
295,2969,0.0
295,3004,0.0
295,3064,0.0
295,3069,0.0
295,3160,0.0
295,3228,0.0
295,3294,0.0
295,3504,0.0
295,3505,0.0
295,3521,0.0
295,3530,0.0
295,3712,0.0
295,3737,0.0
295,3791,0.0
295,3952,0.0
295,4143,0.0
295,4195,0.0
295,4291,0.0
295,4342,0.0
295,4367,0.0
295,4653,0.0
295,4773,0.0
295,4837,0.0
295,4863,0.0
295,4882,0.0
295,4903,0.0
295,4916,0.0
551,37,0.0
551,196,0.0
551,231,0.0
551,489,0.0
551,506,0.0
551,772,0.0
551,773,0.0
551,789,0.0
551,824,0.0
551,825,0.0
551,940,0.0
551,1121,0.0
551,1273,0.0
551,1294,0.0
551,1406,0.0
551,1471,0.0
551,1707,0.0
551,1718,0.0
551,1771,0.0
551,1795,0.0
551,1844,0.0
551,1903,0.0
551,1907,0.0
551,2021,0.0
551,2163,0.0
551,2407,0.0
551,2767,0.0
551,2821,0.0
551,2829,0.0
551,2958,0.0
551,2964,0.0
551,3035,0.0
551,3271,0.0
551,3418,0.0
551,3475,0.0
551,3579,0.0
551,3779,0.0
551,4038,0.0
551,4041,0.0
551,4057,0.0
551,4097,0.0
551,4118,0.0
551,4163,0.0
551,4202,0.0
551,4378,0.0
551,4427,0.0
551,4474,0.0
551,4506,0.0
551,4513,0.0
551,4598,0.0
551,4715,0.0
551,4859,0.0
551,4863,0.0
551,4899,0.0
551,4983,0.0
803,310,0.0
803,345,0.0
803,348,0.0
803,463,0.0
803,486,0.0
803,522,0.0
803,597,0.0
803,652,0.0
803,999,0.0
803,1107,0.0
803,1219,0.0
803,1245,0.0
803,1361,0.0
803,1576,0.0
803,1788,0.0
803,1861,0.0
803,1883,0.0
803,1919,0.0
803,1922,0.0
803,2055,0.0
803,2126,0.0
803,2186,0.0
803,2419,0.0
803,2607,0.0
803,2667,0.0
803,3006,0.0
803,3090,0.0
803,3116,0.0
803,3140,0.0
803,3161,0.0
803,3371,0.0
803,3435,0.0
803,3498,0.0
803,3673,0.0
803,3751,0.0
803,3793,0.0
803,3815,0.0
803,3862,0.0
803,4027,0.0
803,4191,0.0
803,4201,0.0
803,4289,0.0
803,4320,0.0
803,4349,0.0
803,4509,0.0
803,4526,0.0
803,4624,0.0
803,4733,0.0
803,4750,0.0
803,4883,0.0
803,4916,0.0
813,120,0.0
813,163,0.0
813,486,0.0
813,510,0.0
813,642,0.0
813,960,0.0
813,1102,0.0
813,1211,0.0
813,1215,0.0
813,1253,0.0
813,1297,0.0
813,1335,0.0
813,1404,0.0
813,1431,0.0
813,1517,0.0
813,1547,0.0
813,1620,0.0
813,1775,0.0
813,1880,0.0
813,1885,0.0
813,1898,0.0
813,2085,0.0
813,2191,0.0
813,2371,0.0
813,2387,0.0
813,2467,0.0
813,2580,0.0
813,2780,0.0
813,2803,0.0
813,2934,0.0
813,2949,0.0
813,3000,0.0
813,3056,0.0
813,3175,0.0
813,3242,0.0
813,3379,0.0
813,3389,0.0
813,3489,0.0
813,3557,0.0
813,3853,0.0
813,3992,0.0
813,4129,0.0
813,4135,0.0
813,4409,0.0
813,4546,0.0
813,4564,0.0
813,4605,0.0
813,4727,0.0
813,4818,0.0
831,14,0.0
831,37,0.0
831,166,0.0
831,230,0.0
831,958,0.0
831,1042,0.0
831,1046,0.0
831,1119,0.0
831,1210,0.0
831,1278,0.0
831,1302,0.0
831,1433,0.0
831,1496,0.0
831,1626,0.0
831,2018,0.0
831,2169,0.0
831,2337,0.0
831,2447,0.0
831,2532,0.0
831,2558,0.0
831,2679,0.0
831,2823,0.0
831,2830,0.0
831,2891,0.0
831,2911,0.0
831,3026,0.0
831,3216,0.0
831,3288,0.0
831,3309,0.0
831,3596,0.0
831,3663,0.0
831,3701,0.0
831,3921,0.0
831,4098,0.0
831,4113,0.0
831,4268,0.0
831,4391,0.0
831,4460,0.0
831,4596,0.0
831,4967,0.0
831,4987,0.0
1172,38,0.0
1172,49,0.0
1172,266,0.0
1172,567,0.0
1172,626,0.0
1172,743,0.0
1172,854,0.0
1172,1498,0.0
1172,1661,0.0
1172,1715,0.0
1172,1779,0.0
1172,1870,0.0
1172,2142,0.0
1172,2262,0.0
1172,2337,0.0
1172,2555,0.0
1172,2609,0.0
1172,2642,0.0
1172,2700,0.0
1172,2739,0.0
1172,2833,0.0
1172,2858,0.0
1172,3129,0.0
1172,3183,0.0
1172,3376,0.0
1172,3622,0.0
1172,3676,0.0
1172,3686,0.0
1172,3717,0.0
1172,3769,0.0
1172,3794,0.0
1172,3831,0.0
1172,3832,0.0
1172,3854,0.0
1172,3863,0.0
1172,3932,0.0
1172,3965,0.0
1172,4024,0.0
1172,4161,0.0
