Node1,Node2,Ollivier-Ricci Curvature
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,9,0.0
0,11,0.0
0,13,0.0
0,21,0.0
0,25,0.0
0,38,0.0
0,51,0.0
0,62,0.0
0,68,0.0
0,73,0.0
0,77,0.0
0,100,0.0
0,106,0.0
0,130,0.0
0,155,0.0
0,156,0.0
0,158,0.0
0,182,0.0
0,195,0.0
0,210,0.0
0,222,0.0
0,228,0.0
0,245,0.0
0,265,0.0
0,309,0.0
0,316,0.0
0,377,0.0
0,406,0.0
0,413,0.0
0,537,0.0
0,546,0.0
0,547,0.0
0,567,0.0
0,618,0.0
0,640,0.0
0,713,0.0
0,719,0.0
0,726,0.0
0,750,0.0
0,775,0.0
0,797,0.0
0,800,0.0
0,901,0.0
0,913,0.0
0,929,0.0
0,933,0.0
0,945,0.0
0,1001,0.0
0,1012,0.0
0,1018,0.0
0,1058,0.0
0,1069,0.0
0,1072,0.0
0,1080,0.0
0,1082,0.0
0,1124,0.0
0,1230,0.0
0,1281,0.0
0,1301,0.0
0,1324,0.0
0,1378,0.0
0,1388,0.0
0,1472,0.0
0,1497,0.0
0,1579,0.0
0,1580,0.0
0,1741,0.0
0,1768,0.0
0,1788,0.0
0,1808,0.0
0,1923,0.0
0,2034,0.0
0,2061,0.0
0,2067,0.0
0,2100,0.0
0,2125,0.0
0,2159,0.0
0,2253,0.0
0,2266,0.0
0,2286,0.0
0,2352,0.0
0,2386,0.0
0,2458,0.0
0,2534,0.0
0,2600,0.0
0,2652,0.0
0,2705,0.0
0,2856,0.0
0,3017,0.0
0,3033,0.0
0,3049,0.0
0,3054,0.0
0,3078,0.0
0,3214,0.0
0,3273,0.0
0,3316,0.0
0,3533,0.0
0,3549,0.0
0,3749,0.0
0,3803,0.0
0,3848,0.0
0,3913,0.0
0,3916,0.0
0,3965,0.0
0,4132,0.0
0,4142,0.0
0,4338,0.0
0,4367,0.0
0,4389,0.0
0,4401,0.0
0,4452,0.0
0,4473,0.0
0,4487,0.0
0,4517,0.0
0,4650,0.0
0,4688,0.0
0,4719,0.0
0,4748,0.0
0,4826,0.0
0,4868,0.0
0,4893,0.0
0,4951,0.0
0,5035,0.0
0,5193,0.0
0,5288,0.0
0,5312,0.0
0,5467,0.0
0,5499,0.0
0,5611,0.0
0,5630,0.0
0,5701,0.0
0,5773,0.0
0,5792,0.0
0,5975,0.0
0,6342,0.0
0,6409,0.0
0,6812,0.0
0,6827,0.0
0,6869,0.0
0,6912,0.0
0,7017,0.0
0,7043,0.0
0,7099,0.0
0,7394,0.0
0,7530,0.0
0,7832,0.0
0,7847,0.0
0,7849,0.0
0,8041,0.0
0,8108,0.0
0,8165,0.0
0,8183,0.0
0,8265,0.0
0,8285,0.0
0,8303,0.0
0,8322,0.0
0,8339,0.0
0,8363,0.0
0,8447,0.0
0,8458,0.0
0,8582,0.0
0,8668,0.0
0,8755,0.0
0,8760,0.0
0,8789,0.0
0,9029,0.0
0,9155,0.0
0,9375,0.0
0,9376,0.0
0,9532,0.0
0,9584,0.0
0,9590,0.0
0,9716,0.0
0,9838,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,15,0.0
1,21,0.0
1,29,0.0
1,30,0.0
1,43,0.0
1,48,0.0
1,56,0.0
1,61,0.0
1,70,0.0
1,78,0.0
1,93,0.0
1,115,0.0
1,120,0.0
1,121,0.0
1,126,0.0
1,129,0.0
1,130,0.0
1,137,0.0
1,152,0.0
1,168,0.0
1,169,0.0
1,172,0.0
1,177,0.0
1,188,0.0
1,197,0.0
1,207,0.0
1,232,0.0
1,237,0.0
1,243,0.0
1,297,0.0
1,338,0.0
1,356,0.0
1,376,0.0
1,377,0.0
1,385,0.0
1,398,0.0
1,416,0.0
1,509,0.0
1,521,0.0
1,556,0.0
1,614,0.0
1,633,0.0
1,663,0.0
1,691,0.0
1,694,0.0
1,701,0.0
1,841,0.0
1,948,0.0
1,990,0.0
1,1010,0.0
1,1048,0.0
1,1083,0.0
1,1129,0.0
1,1249,0.0
1,1364,0.0
1,1367,0.0
1,1384,0.0
1,1577,0.0
1,1651,0.0
1,1788,0.0
1,1838,0.0
1,1842,0.0
1,1858,0.0
1,1865,0.0
1,1913,0.0
1,1946,0.0
1,1992,0.0
1,2032,0.0
1,2035,0.0
1,2087,0.0
1,2226,0.0
1,2303,0.0
1,2354,0.0
1,2516,0.0
1,2529,0.0
1,2552,0.0
1,2636,0.0
1,2654,0.0
1,2662,0.0
1,2679,0.0
1,2733,0.0
1,2799,0.0
1,2872,0.0
1,2881,0.0
1,2903,0.0
1,2966,0.0
1,3012,0.0
1,3138,0.0
1,3167,0.0
1,3239,0.0
1,3317,0.0
1,3337,0.0
1,3349,0.0
1,3475,0.0
1,3588,0.0
1,3636,0.0
1,3692,0.0
1,3963,0.0
1,4064,0.0
1,4110,0.0
1,4157,0.0
1,4202,0.0
1,4334,0.0
1,4391,0.0
1,4540,0.0
1,4581,0.0
1,4624,0.0
1,4974,0.0
1,5053,0.0
1,5136,0.0
1,5186,0.0
1,5227,0.0
1,5311,0.0
1,5326,0.0
1,5483,0.0
1,5511,0.0
1,5523,0.0
1,5656,0.0
1,5683,0.0
1,6108,0.0
1,6212,0.0
1,6225,0.0
1,6235,0.0
1,6286,0.0
1,6379,0.0
1,6505,0.0
1,6672,0.0
1,6687,0.0
1,6703,0.0
1,6736,0.0
1,6822,0.0
1,6860,0.0
1,6966,0.0
1,7009,0.0
1,7045,0.0
1,7178,0.0
1,7266,0.0
1,7384,0.0
1,7637,0.0
1,7806,0.0
1,8000,0.0
1,8034,0.0
1,8074,0.0
1,8103,0.0
1,8127,0.0
1,8518,0.0
1,8832,0.0
1,8880,0.0
1,8926,0.0
1,8928,0.0
1,8935,0.0
1,9072,0.0
1,9679,0.0
1,9685,0.0
1,9694,0.0
1,9933,0.0
2,4,0.0
2,6,0.0
2,12,0.0
2,13,0.0
2,23,0.0
2,38,0.0
2,41,0.0
2,43,0.0
2,47,0.0
2,104,0.0
2,109,0.0
2,147,0.0
2,191,0.0
2,199,0.0
2,200,0.0
2,222,0.0
2,229,0.0
2,248,0.0
2,249,0.0
2,292,0.0
2,326,0.0
2,435,0.0
2,445,0.0
2,447,0.0
2,453,0.0
2,455,0.0
2,516,0.0
2,518,0.0
2,575,0.0
2,698,0.0
2,718,0.0
2,751,0.0
2,759,0.0
2,767,0.0
2,768,0.0
2,871,0.0
2,962,0.0
2,1082,0.0
2,1137,0.0
2,1206,0.0
2,1244,0.0
2,1372,0.0
2,1393,0.0
2,1435,0.0
2,1506,0.0
2,1511,0.0
2,1523,0.0
2,1542,0.0
2,1576,0.0
2,1589,0.0
2,1609,0.0
2,1764,0.0
2,1792,0.0
2,1808,0.0
2,1852,0.0
2,1862,0.0
2,1869,0.0
2,1885,0.0
2,1893,0.0
2,1970,0.0
2,2064,0.0
2,2098,0.0
2,2234,0.0
2,2410,0.0
2,2417,0.0
2,2513,0.0
2,2681,0.0
2,2727,0.0
2,2798,0.0
2,2833,0.0
2,2876,0.0
2,2912,0.0
2,2943,0.0
2,3035,0.0
2,3037,0.0
2,3377,0.0
2,3449,0.0
2,3613,0.0
2,3632,0.0
2,3667,0.0
2,3698,0.0
2,3941,0.0
2,4037,0.0
2,4048,0.0
2,4070,0.0
2,4119,0.0
2,4286,0.0
2,4438,0.0
2,4453,0.0
2,4505,0.0
2,4571,0.0
2,4577,0.0
2,4578,0.0
2,4648,0.0
2,4664,0.0
2,4673,0.0
2,4680,0.0
2,4796,0.0
2,4839,0.0
2,4861,0.0
2,5121,0.0
2,5224,0.0
2,5228,0.0
2,5393,0.0
2,5406,0.0
2,5472,0.0
2,5754,0.0
2,5862,0.0
2,6028,0.0
2,6526,0.0
2,6753,0.0
2,6777,0.0
2,7113,0.0
2,7271,0.0
2,8103,0.0
2,8158,0.0
2,8243,0.0
2,8497,0.0
2,8536,0.0
2,8571,0.0
2,8948,0.0
2,9007,0.0
2,9219,0.0
2,9417,0.0
3,8,0.0
3,9,0.0
3,20,0.0
3,22,0.0
3,27,0.0
3,36,0.0
3,62,0.0
3,66,0.0
3,69,0.0
3,70,0.0
3,71,0.0
3,85,0.0
3,104,0.0
3,111,0.0
3,117,0.0
3,121,0.0
3,123,0.0
3,157,0.0
3,187,0.0
3,189,0.0
3,197,0.0
3,242,0.0
3,260,0.0
3,275,0.0
3,286,0.0
3,312,0.0
3,322,0.0
3,370,0.0
3,427,0.0
3,490,0.0
3,494,0.0
3,495,0.0
3,514,0.0
3,549,0.0
3,555,0.0
3,557,0.0
3,595,0.0
3,645,0.0
3,657,0.0
3,686,0.0
3,697,0.0
3,795,0.0
3,834,0.0
3,849,0.0
3,875,0.0
3,907,0.0
3,939,0.0
3,997,0.0
3,998,0.0
3,1041,0.0
3,1072,0.0
3,1077,0.0
3,1099,0.0
3,1194,0.0
3,1251,0.0
3,1371,0.0
3,1399,0.0
3,1441,0.0
3,1620,0.0
3,1670,0.0
3,1691,0.0
3,1736,0.0
3,1757,0.0
3,1845,0.0
3,1856,0.0
3,1876,0.0
3,1960,0.0
3,2005,0.0
3,2048,0.0
3,2095,0.0
3,2118,0.0
3,2122,0.0
3,2152,0.0
3,2165,0.0
3,2199,0.0
3,2311,0.0
3,2484,0.0
3,2605,0.0
3,2636,0.0
3,2656,0.0
3,2696,0.0
3,2707,0.0
3,2722,0.0
3,2821,0.0
3,2918,0.0
3,2928,0.0
3,3039,0.0
3,3104,0.0
3,3106,0.0
3,3142,0.0
3,3270,0.0
3,3329,0.0
3,3371,0.0
3,3445,0.0
3,3459,0.0
3,3472,0.0
3,3579,0.0
3,3690,0.0
3,3819,0.0
3,3862,0.0
3,3972,0.0
3,3978,0.0
3,4028,0.0
3,4041,0.0
3,4096,0.0
3,4381,0.0
3,4500,0.0
3,4632,0.0
3,4651,0.0
3,4710,0.0
3,4800,0.0
3,4920,0.0
3,5230,0.0
3,5269,0.0
3,5476,0.0
3,5748,0.0
3,5963,0.0
3,5984,0.0
3,6141,0.0
3,6286,0.0
3,6669,0.0
3,6767,0.0
3,6839,0.0
3,6947,0.0
3,7013,0.0
3,7305,0.0
3,7418,0.0
3,7426,0.0
3,7471,0.0
3,7500,0.0
3,7964,0.0
3,7978,0.0
3,8161,0.0
3,8203,0.0
3,8228,0.0
3,8234,0.0
3,8305,0.0
3,8318,0.0
3,8411,0.0
3,8590,0.0
3,8752,0.0
3,8827,0.0
3,8903,0.0
3,9042,0.0
